id,domain,email_type,instruction,incoming_email,email,text
812,computer science,incident report,Write a formal incident summary email to the engineering team about a 25-minute outage of the mobile backend caused by an exhausted connection pool.,,"Subject: Incident summary: mobile backend outage

Dear team,

This email summarizes the incident that affected the mobile backend on Thursday, 26 May.

Impact: The service was unavailable or degraded for approximately 25 minutes. Users experienced failed requests and timeouts during this period.

Root cause: The outage was caused by an exhausted connection pool.

Resolution: The on-call engineer identified the issue, applied a fix, and confirmed that the service had fully recovered. Monitoring shows normal error rates and latency since then.

Next steps: We will hold a blameless post-mortem this week, add an alert that would have detected the problem earlier, and update the runbook. Action items will be tracked in the incident ticket.

Please reply to this email if you have questions or additional information.

Sincerely,
David Rossi
Site Reliability Engineer, Arcturus Software","### Instruction:
Write a formal incident summary email to the engineering team about a 25-minute outage of the mobile backend caused by an exhausted connection pool.

### Email:
Subject: Incident summary: mobile backend outage

Dear team,

This email summarizes the incident that affected the mobile backend on Thursday, 26 May.

Impact: The service was unavailable or degraded for approximately 25 minutes. Users experienced failed requests and timeouts during this period.

Root cause: The outage was caused by an exhausted connection pool.

Resolution: The on-call engineer identified the issue, applied a fix, and confirmed that the service had fully recovered. Monitoring shows normal error rates and latency since then.

Next steps: We will hold a blameless post-mortem this week, add an alert that would have detected the problem earlier, and update the runbook. Action items will be tracked in the incident ticket.

Please reply to this email if you have questions or additional information.

Sincerely,
David Rossi
Site Reliability Engineer, Arcturus Software
<|endoftext|>"
813,computer science,bug report,"Write an email to Oskar, a colleague, reporting a bug in the authentication service (version 4.0.3): slow queries caused by a missing database index.",,"Subject: Bug in authentication service 4.0.3

Hey Oskar,

I wanted to let you know that we found a bug in the authentication service, version 4.0.3. The issue is slow queries caused by a missing database index.

We first noticed it in the logs yesterday and were able to reproduce it in the staging environment. So far it affects a limited number of requests, but it could become more serious under higher load.

I have opened a ticket with the reproduction steps and the relevant log excerpts. Could you take a look when you have a moment and let me know if you need more details?

Cheers,
Mikko","### Instruction:
Write an email to Oskar, a colleague, reporting a bug in the authentication service (version 4.0.3): slow queries caused by a missing database index.

### Email:
Subject: Bug in authentication service 4.0.3

Hey Oskar,

I wanted to let you know that we found a bug in the authentication service, version 4.0.3. The issue is slow queries caused by a missing database index.

We first noticed it in the logs yesterday and were able to reproduce it in the staging environment. So far it affects a limited number of requests, but it could become more serious under higher load.

I have opened a ticket with the reproduction steps and the relevant log excerpts. Could you take a look when you have a moment and let me know if you need more details?

Cheers,
Mikko
<|endoftext|>"
814,marketing,webinar invitation,"Write an email inviting university students to a free webinar on building a content strategy that converts on Thursday, 1 June at 11:00 CET, presented by Elena Ferreira.",,"Subject: Free webinar: building a content strategy that converts

Hello,

Join us for a free live webinar on building a content strategy that converts.

Date: Thursday, 1 June
Time: 11:00 CET
Speaker: Elena Ferreira

In 45 minutes, you'll learn practical strategies that university students can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Erik Kowalski
Product Marketing Manager, Vertex Logistics","### Instruction:
Write an email inviting university students to a free webinar on building a content strategy that converts on Thursday, 1 June at 11:00 CET, presented by Elena Ferreira.

### Email:
Subject: Free webinar: building a content strategy that converts

Hello,

Join us for a free live webinar on building a content strategy that converts.

Date: Thursday, 1 June
Time: 11:00 CET
Speaker: Elena Ferreira

In 45 minutes, you'll learn practical strategies that university students can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Erik Kowalski
Product Marketing Manager, Vertex Logistics
<|endoftext|>"
815,marketing,cold outreach,"Write a short, polite B2B cold outreach email to Hannah Virtanen at Bluefjord Tech, introducing MetricLens.",,"Subject: Helping Bluefjord Tech launch campaigns faster

Hello Hannah,

I'm Hannah from Arcturus Software. I noticed that Bluefjord Tech has been growing quickly, and I thought MetricLens might be relevant for your team.

MetricLens helps companies like yours launch campaigns faster. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Best regards,
Hannah Novak
Account Executive, Arcturus Software","### Instruction:
Write a short, polite B2B cold outreach email to Hannah Virtanen at Bluefjord Tech, introducing MetricLens.

### Email:
Subject: Helping Bluefjord Tech launch campaigns faster

Hello Hannah,

I'm Hannah from Arcturus Software. I noticed that Bluefjord Tech has been growing quickly, and I thought MetricLens might be relevant for your team.

MetricLens helps companies like yours launch campaigns faster. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Best regards,
Hannah Novak
Account Executive, Arcturus Software
<|endoftext|>"
816,marketing,re-engagement,Write a re-engagement email to inactive users of MetricLens offering 20% off if they come back.,,"Subject: We miss you: 20% off to come back

Hi there,

It's been a while since you last used MetricLens, and we wanted to reach out.

A lot has changed since your last visit: we've made MetricLens faster, easier to use, and added features many of you asked for.

To welcome you back, here's 20% off your next three months. Just log in and the discount will be applied automatically.

If MetricLens is no longer right for you, we'd genuinely appreciate hearing why, so we can keep improving.

Best,
The MetricLens Team","### Instruction:
Write a re-engagement email to inactive users of MetricLens offering 20% off if they come back.

### Email:
Subject: We miss you: 20% off to come back

Hi there,

It's been a while since you last used MetricLens, and we wanted to reach out.

A lot has changed since your last visit: we've made MetricLens faster, easier to use, and added features many of you asked for.

To welcome you back, here's 20% off your next three months. Just log in and the discount will be applied automatically.

If MetricLens is no longer right for you, we'd genuinely appreciate hearing why, so we can keep improving.

Best,
The MetricLens Team
<|endoftext|>"
817,computer science,security notice,Write an email to developers asking them to update dependencies after a vulnerability was disclosed in an HTTP client library.,,"Subject: Action required: vulnerability in an HTTP client library

Dear developers,

A security vulnerability has been disclosed in an HTTP client library that several of our services depend on. The issue could allow an attacker to execute unexpected code under certain conditions.

Please take the following steps by the end of Wednesday:
1. Check whether your service uses the affected library, directly or as a transitive dependency.
2. Update it to the patched version listed in the security ticket.
3. Run the test suite and deploy the change through the normal release process.

The security team has already scanned our repositories, and the list of affected services is attached to the ticket. If you are unsure whether your service is affected, contact the security team and we will help you verify it.

Kind regards,
Sofia Novak
Security Engineer, Quanta Finance","### Instruction:
Write an email to developers asking them to update dependencies after a vulnerability was disclosed in an HTTP client library.

### Email:
Subject: Action required: vulnerability in an HTTP client library

Dear developers,

A security vulnerability has been disclosed in an HTTP client library that several of our services depend on. The issue could allow an attacker to execute unexpected code under certain conditions.

Please take the following steps by the end of Wednesday:
1. Check whether your service uses the affected library, directly or as a transitive dependency.
2. Update it to the patched version listed in the security ticket.
3. Run the test suite and deploy the change through the normal release process.

The security team has already scanned our repositories, and the list of affected services is attached to the ticket. If you are unsure whether your service is affected, contact the security team and we will help you verify it.

Kind regards,
Sofia Novak
Security Engineer, Quanta Finance
<|endoftext|>"
818,computer science,onboarding,"Write a friendly welcome email to Mikko, a new developer joining the team, with first-week information.",,"Subject: Welcome to the team, Mikko!

Hey Mikko,

Welcome to the team! We're very glad to have you with us at Helix Data.

Here's what your first week will look like:
- On your first day, IT will help you set up your laptop and accounts.
- You'll get access to our repositories and the developer documentation.
- We'll walk you through our stack, which is built mainly on React and Kafka.
- By the end of the week, you'll pick up a small starter task to get familiar with the codebase and review process.

Erik will be your onboarding buddy, so don't hesitate to ask them anything. See you on Monday!

Thanks,
Chiara","### Instruction:
Write a friendly welcome email to Mikko, a new developer joining the team, with first-week information.

### Email:
Subject: Welcome to the team, Mikko!

Hey Mikko,

Welcome to the team! We're very glad to have you with us at Helix Data.

Here's what your first week will look like:
- On your first day, IT will help you set up your laptop and accounts.
- You'll get access to our repositories and the developer documentation.
- We'll walk you through our stack, which is built mainly on React and Kafka.
- By the end of the week, you'll pick up a small starter task to get familiar with the codebase and review process.

Erik will be your onboarding buddy, so don't hesitate to ask them anything. See you on Monday!

Thanks,
Chiara
<|endoftext|>"
819,marketing,cold outreach,"Write a short, polite B2B cold outreach email to Aino Ferreira at Brightpath Analytics, introducing CloudNest.",,"Subject: Helping Brightpath Analytics save several hours of manual work every week

Dear Aino,

I'm Pablo from Sierra Cloud. I noticed that Brightpath Analytics has been growing quickly, and I thought CloudNest might be relevant for your team.

CloudNest helps companies like yours save several hours of manual work every week. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Kind regards,
Pablo Novak
Account Executive, Sierra Cloud","### Instruction:
Write a short, polite B2B cold outreach email to Aino Ferreira at Brightpath Analytics, introducing CloudNest.

### Email:
Subject: Helping Brightpath Analytics save several hours of manual work every week

Dear Aino,

I'm Pablo from Sierra Cloud. I noticed that Brightpath Analytics has been growing quickly, and I thought CloudNest might be relevant for your team.

CloudNest helps companies like yours save several hours of manual work every week. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Kind regards,
Pablo Novak
Account Executive, Sierra Cloud
<|endoftext|>"
820,marketing,webinar invitation,"Write an email inviting university students to a free webinar on growing your customer base with email marketing on Monday, 21 September at 10:30 CET, presented by Leila Müller.",,"Subject: Free webinar: growing your customer base with email marketing

Hello,

Join us for a free live webinar on growing your customer base with email marketing.

Date: Monday, 21 September
Time: 10:30 CET
Speaker: Leila Müller

In 45 minutes, you'll learn practical strategies that university students can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Aino Fischer
Marketing Manager, Quanta Finance","### Instruction:
Write an email inviting university students to a free webinar on growing your customer base with email marketing on Monday, 21 September at 10:30 CET, presented by Leila Müller.

### Email:
Subject: Free webinar: growing your customer base with email marketing

Hello,

Join us for a free live webinar on growing your customer base with email marketing.

Date: Monday, 21 September
Time: 10:30 CET
Speaker: Leila Müller

In 45 minutes, you'll learn practical strategies that university students can apply right away, see real examples, and get your questions answered in a live Q&A.

Seats are limited, so reserve your spot today. Can't attend live? Register anyway and we'll send you the recording.

Kind regards,
Aino Fischer
Marketing Manager, Quanta Finance
<|endoftext|>"
821,computer science,reply to question,Reply to the following email from David answering the question.,"Subject: Question

Hi Inés,

Could you tell me whether the nightly backup job is working?

Thanks,
David","Subject: Re: Question

Hey David,

Good question. Yes, the job has completed successfully every night this week. I also ran a restore test on Tuesday, and the data was recovered without errors.

Let me know if anything is unclear or if you need more details.

Best regards,
Inés","### Instruction:
Reply to the following email from David answering the question.

### Incoming email:
Subject: Question

Hi Inés,

Could you tell me whether the nightly backup job is working?

Thanks,
David

### Email:
Subject: Re: Question

Hey David,

Good question. Yes, the job has completed successfully every night this week. I also ran a restore test on Tuesday, and the data was recovered without errors.

Let me know if anything is unclear or if you need more details.

Best regards,
Inés
<|endoftext|>"
822,computer science,meeting request,"Write an email to Hannah proposing a meeting to discuss the architecture of the new notification service, offering two time slots.",,"Subject: Meeting about the architecture of the new notification service

Hello Hannah,

I'd like to schedule a 30-minute meeting to discuss the architecture of the new notification service. There are a few open technical decisions, and it would be good to align before we move forward.

Would either of these slots work for you?
- Monday at 13:00
- Wednesday at 11:00

If neither suits you, feel free to suggest another time. I'll send a calendar invite with a short agenda once we agree.

Best regards,
Elena Kowalski
Security Engineer, Kivi Labs","### Instruction:
Write an email to Hannah proposing a meeting to discuss the architecture of the new notification service, offering two time slots.

### Email:
Subject: Meeting about the architecture of the new notification service

Hello Hannah,

I'd like to schedule a 30-minute meeting to discuss the architecture of the new notification service. There are a few open technical decisions, and it would be good to align before we move forward.

Would either of these slots work for you?
- Monday at 13:00
- Wednesday at 11:00

If neither suits you, feel free to suggest another time. I'll send a calendar invite with a short agenda once we agree.

Best regards,
Elena Kowalski
Security Engineer, Kivi Labs
<|endoftext|>"
823,marketing,product launch,"Write a product launch marketing email for SyncBoard, aimed at IT decision-makers, highlighting that it helps them automate repetitive reporting and offering a 20% launch discount.",,"Subject: Meet SyncBoard, built for IT decision-makers

Hello,

What if you could automate repetitive reporting?

That's exactly why we built SyncBoard. After talking with hundreds of IT decision-makers, we designed a simple solution that fits the way you already work.

For a limited time, new customers get 20% off. There's no long-term commitment, and you can cancel at any time.

Try SyncBoard free for 14 days and let us know what you think.

Kind regards,
Elena Ferreira
Content Strategist, Helix Data","### Instruction:
Write a product launch marketing email for SyncBoard, aimed at IT decision-makers, highlighting that it helps them automate repetitive reporting and offering a 20% launch discount.

### Email:
Subject: Meet SyncBoard, built for IT decision-makers

Hello,

What if you could automate repetitive reporting?

That's exactly why we built SyncBoard. After talking with hundreds of IT decision-makers, we designed a simple solution that fits the way you already work.

For a limited time, new customers get 20% off. There's no long-term commitment, and you can cancel at any time.

Try SyncBoard free for 14 days and let us know what you think.

Kind regards,
Elena Ferreira
Content Strategist, Helix Data
<|endoftext|>"
824,computer science,onboarding,"Write a friendly welcome email to Kenji, a new developer joining the team, with first-week information.",,"Subject: Welcome to the team, Kenji!

Hi Kenji,

Welcome to the team! We're very glad to have you with us at Pinecrest Health.

Here's what your first week will look like:
- On your first day, IT will help you set up your laptop and accounts.
- You'll get access to our repositories and the developer documentation.
- We'll walk you through our stack, which is built mainly on Redis and Terraform.
- By the end of the week, you'll pick up a small starter task to get familiar with the codebase and review process.

Felix will be your onboarding buddy, so don't hesitate to ask them anything. See you on Tuesday!

Cheers,
Erik","### Instruction:
Write a friendly welcome email to Kenji, a new developer joining the team, with first-week information.

### Email:
Subject: Welcome to the team, Kenji!

Hi Kenji,

Welcome to the team! We're very glad to have you with us at Pinecrest Health.

Here's what your first week will look like:
- On your first day, IT will help you set up your laptop and accounts.
- You'll get access to our repositories and the developer documentation.
- We'll walk you through our stack, which is built mainly on Redis and Terraform.
- By the end of the week, you'll pick up a small starter task to get familiar with the codebase and review process.

Felix will be your onboarding buddy, so don't hesitate to ask them anything. See you on Tuesday!

Cheers,
Erik
<|endoftext|>"
825,computer science,code review request,"Write an email asking Mikko to review pull request #287, which refactors the database access layer in the authentication service.",,"Subject: Review request: PR #287

Hi Mikko,

Could you review pull request #287 when you get a chance? It refactors the database access layer in the authentication service.

The change is written in TypeScript and touches about 18 files. The main logic is in the service layer; the rest are tests and small updates to call sites. All tests pass locally and in CI.

I would especially appreciate your feedback on error handling and naming. If possible, I'd like to merge it before Tuesday.

Best,
Yusuf","### Instruction:
Write an email asking Mikko to review pull request #287, which refactors the database access layer in the authentication service.

### Email:
Subject: Review request: PR #287

Hi Mikko,

Could you review pull request #287 when you get a chance? It refactors the database access layer in the authentication service.

The change is written in TypeScript and touches about 18 files. The main logic is in the service layer; the rest are tests and small updates to call sites. All tests pass locally and in CI.

I would especially appreciate your feedback on error handling and naming. If possible, I'd like to merge it before Tuesday.

Best,
Yusuf
<|endoftext|>"
826,marketing,reply to complaint,Reply professionally and empathetically to this customer complaint from Erik Costa.,"Subject: Problem with DataPulse

Hello,

I never received the discount promised in your email. This is very frustrating. Please fix it as soon as possible.

Erik Costa","Subject: Re: Problem with DataPulse

Dear Erik,

Thank you for contacting us, and I'm sorry for the trouble you've experienced with DataPulse.

You're right, the discount should have been applied. I've added it to your account manually, and it will be reflected on your next invoice.

We appreciate your patience and your feedback, which helps us improve. If there is anything else I can do, please reply to this email and I will personally follow up.

Sincerely,
Irene Silva
Customer Support Specialist, Lumen Retail","### Instruction:
Reply professionally and empathetically to this customer complaint from Erik Costa.

### Incoming email:
Subject: Problem with DataPulse

Hello,

I never received the discount promised in your email. This is very frustrating. Please fix it as soon as possible.

Erik Costa

### Email:
Subject: Re: Problem with DataPulse

Dear Erik,

Thank you for contacting us, and I'm sorry for the trouble you've experienced with DataPulse.

You're right, the discount should have been applied. I've added it to your account manually, and it will be reflected on your next invoice.

We appreciate your patience and your feedback, which helps us improve. If there is anything else I can do, please reply to this email and I will personally follow up.

Sincerely,
Irene Silva
Customer Support Specialist, Lumen Retail
<|endoftext|>"
827,marketing,reply to complaint,Reply professionally and empathetically to this customer complaint from Priya Costa.,"Subject: Problem with SecureGate

Hello,

I never received the discount promised in your email. This is very frustrating. Please fix it as soon as possible.

Priya Costa","Subject: Re: Problem with SecureGate

Dear Priya,

Thank you for contacting us, and I'm sorry for the trouble you've experienced with SecureGate.

You're right, the discount should have been applied. I've added it to your account manually, and it will be reflected on your next invoice.

We appreciate your patience and your feedback, which helps us improve. If there is anything else I can do, please reply to this email and I will personally follow up.

Kind regards,
Irene Weber
Customer Support Specialist, Lumen Retail","### Instruction:
Reply professionally and empathetically to this customer complaint from Priya Costa.

### Incoming email:
Subject: Problem with SecureGate

Hello,

I never received the discount promised in your email. This is very frustrating. Please fix it as soon as possible.

Priya Costa

### Email:
Subject: Re: Problem with SecureGate

Dear Priya,

Thank you for contacting us, and I'm sorry for the trouble you've experienced with SecureGate.

You're right, the discount should have been applied. I've added it to your account manually, and it will be reflected on your next invoice.

We appreciate your patience and your feedback, which helps us improve. If there is anything else I can do, please reply to this email and I will personally follow up.

Kind regards,
Irene Weber
Customer Support Specialist, Lumen Retail
<|endoftext|>"
828,computer science,bug report,"Write a formal email to Daniel, a colleague, reporting a bug in the mobile backend (version 4.11.9): a memory leak that causes the service to restart every few hours.",,"Subject: Bug in mobile backend 4.11.9

Dear Daniel,

Quick heads-up: there is a bug in version 4.11.9 of the mobile backend. It turns out to be a memory leak that causes the service to restart every few hours.

Steps to reproduce, logs, and a short analysis are in the ticket. I suspect the problem was introduced in the latest release, so a rollback might be a reasonable short-term option.

Would you be able to review it today? I'm happy to pair on the fix if that helps.

Kind regards,
Lucas Bianchi
Machine Learning Engineer, Sierra Cloud","### Instruction:
Write a formal email to Daniel, a colleague, reporting a bug in the mobile backend (version 4.11.9): a memory leak that causes the service to restart every few hours.

### Email:
Subject: Bug in mobile backend 4.11.9

Dear Daniel,

Quick heads-up: there is a bug in version 4.11.9 of the mobile backend. It turns out to be a memory leak that causes the service to restart every few hours.

Steps to reproduce, logs, and a short analysis are in the ticket. I suspect the problem was introduced in the latest release, so a rollback might be a reasonable short-term option.

Would you be able to review it today? I'm happy to pair on the fix if that helps.

Kind regards,
Lucas Bianchi
Machine Learning Engineer, Sierra Cloud
<|endoftext|>"
829,computer science,meeting request,"Write an email to Erik proposing a meeting to discuss the security audit findings, offering two time slots.",,"Subject: Meeting about the security audit findings

Hey Erik,

I'd like to schedule a 45-minute meeting to discuss the security audit findings. There are a few open technical decisions, and it would be good to align before we move forward.

Would either of these slots work for you?
- Thursday at 13:00
- Friday at 16:00

If neither suits you, feel free to suggest another time. I'll send a calendar invite with a short agenda once we agree.

Thanks,
Priya","### Instruction:
Write an email to Erik proposing a meeting to discuss the security audit findings, offering two time slots.

### Email:
Subject: Meeting about the security audit findings

Hey Erik,

I'd like to schedule a 45-minute meeting to discuss the security audit findings. There are a few open technical decisions, and it would be good to align before we move forward.

Would either of these slots work for you?
- Thursday at 13:00
- Friday at 16:00

If neither suits you, feel free to suggest another time. I'll send a calendar invite with a short agenda once we agree.

Thanks,
Priya
<|endoftext|>"
830,marketing,cold outreach,"Write a short, polite B2B cold outreach email to Inés Kowalski at Quanta Finance, introducing MetricLens.",,"Subject: Helping Quanta Finance collaborate with their team in real time

Hello Inés,

I'm Ravi from Kivi Labs. I noticed that Quanta Finance has been growing quickly, and I thought MetricLens might be relevant for your team.

MetricLens helps companies like yours collaborate with their team in real time. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Kind regards,
Ravi Martin
Account Executive, Kivi Labs","### Instruction:
Write a short, polite B2B cold outreach email to Inés Kowalski at Quanta Finance, introducing MetricLens.

### Email:
Subject: Helping Quanta Finance collaborate with their team in real time

Hello Inés,

I'm Ravi from Kivi Labs. I noticed that Quanta Finance has been growing quickly, and I thought MetricLens might be relevant for your team.

MetricLens helps companies like yours collaborate with their team in real time. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Kind regards,
Ravi Martin
Account Executive, Kivi Labs
<|endoftext|>"
831,marketing,cold outreach,"Write a short, polite B2B cold outreach email to Kenji Weber at Arcturus Software, introducing SecureGate.",,"Subject: Helping Arcturus Software collaborate with their team in real time

Dear Kenji,

I'm Mikko from Quanta Finance. I noticed that Arcturus Software has been growing quickly, and I thought SecureGate might be relevant for your team.

SecureGate helps companies like yours collaborate with their team in real time. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Mikko Ferreira
Account Executive, Quanta Finance","### Instruction:
Write a short, polite B2B cold outreach email to Kenji Weber at Arcturus Software, introducing SecureGate.

### Email:
Subject: Helping Arcturus Software collaborate with their team in real time

Dear Kenji,

I'm Mikko from Quanta Finance. I noticed that Arcturus Software has been growing quickly, and I thought SecureGate might be relevant for your team.

SecureGate helps companies like yours collaborate with their team in real time. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Mikko Ferreira
Account Executive, Quanta Finance
<|endoftext|>"
832,marketing,product launch,"Write a product launch marketing email for SecureGate, aimed at restaurant owners, highlighting that it helps them collaborate with their team in real time and offering a 20% launch discount.",,"Subject: SecureGate is here

Hello,

What if you could collaborate with their team in real time?

That's exactly why we built SecureGate. After talking with hundreds of restaurant owners, we designed a simple solution that fits the way you already work.

For a limited time, new customers get 20% off. There's no long-term commitment, and you can cancel at any time.

Try SecureGate free for 14 days and let us know what you think.

Best regards,
David Weber
Social Media Manager, Kivi Labs","### Instruction:
Write a product launch marketing email for SecureGate, aimed at restaurant owners, highlighting that it helps them collaborate with their team in real time and offering a 20% launch discount.

### Email:
Subject: SecureGate is here

Hello,

What if you could collaborate with their team in real time?

That's exactly why we built SecureGate. After talking with hundreds of restaurant owners, we designed a simple solution that fits the way you already work.

For a limited time, new customers get 20% off. There's no long-term commitment, and you can cancel at any time.

Try SecureGate free for 14 days and let us know what you think.

Best regards,
David Weber
Social Media Manager, Kivi Labs
<|endoftext|>"
833,marketing,product launch,"Write a product launch marketing email for CloudNest, aimed at IT decision-makers, highlighting that it helps them launch campaigns faster and offering a 30% launch discount.",,"Subject: Meet CloudNest, built for IT decision-makers

Hello,

What if you could launch campaigns faster?

That's exactly why we built CloudNest. After talking with hundreds of IT decision-makers, we designed a simple solution that fits the way you already work.

For a limited time, new customers get 30% off. There's no long-term commitment, and you can cancel at any time.

Try CloudNest free for 14 days and let us know what you think.

Sincerely,
Ravi Bianchi
Campaign Coordinator, Pinecrest Health","### Instruction:
Write a product launch marketing email for CloudNest, aimed at IT decision-makers, highlighting that it helps them launch campaigns faster and offering a 30% launch discount.

### Email:
Subject: Meet CloudNest, built for IT decision-makers

Hello,

What if you could launch campaigns faster?

That's exactly why we built CloudNest. After talking with hundreds of IT decision-makers, we designed a simple solution that fits the way you already work.

For a limited time, new customers get 30% off. There's no long-term commitment, and you can cancel at any time.

Try CloudNest free for 14 days and let us know what you think.

Sincerely,
Ravi Bianchi
Campaign Coordinator, Pinecrest Health
<|endoftext|>"
834,computer science,reply to question,Reply to the following email from Pablo answering the question.,"Subject: Question

Hi Julia,

Could you tell me why our API responses got slower after the last release?

Thanks,
Pablo","Subject: Re: Question

Hi Pablo,

Thanks for reaching out. The slowdown comes from a new database query added in the last release that runs without an index. Adding a composite index on the filtered columns should bring response times back to normal, and I've prepared a migration for it.

Let me know if anything is unclear or if you need more details.

Best,
Julia","### Instruction:
Reply to the following email from Pablo answering the question.

### Incoming email:
Subject: Question

Hi Julia,

Could you tell me why our API responses got slower after the last release?

Thanks,
Pablo

### Email:
Subject: Re: Question

Hi Pablo,

Thanks for reaching out. The slowdown comes from a new database query added in the last release that runs without an index. Adding a composite index on the filtered columns should bring response times back to normal, and I've prepared a migration for it.

Let me know if anything is unclear or if you need more details.

Best,
Julia
<|endoftext|>"
835,marketing,newsletter,"Write a monthly customer newsletter email for PayStream for January, announcing new integrations with popular tools and a mobile app update.",,"Subject: PayStream January update: new integrations with popular tools and more

Hi there,

Here's what's new in PayStream this January.

New: New integrations with popular tools
Based on your feedback, we've released new integrations with popular tools. It's available to all users starting today.

Improved: A mobile app update
We've also added a mobile app update, making your daily work smoother.

From the blog
Read our latest guide with practical tips on getting more value from PayStream.

As always, we'd love to hear from you. Just reply to this email with your ideas or questions.

Thanks,
The PayStream Team","### Instruction:
Write a monthly customer newsletter email for PayStream for January, announcing new integrations with popular tools and a mobile app update.

### Email:
Subject: PayStream January update: new integrations with popular tools and more

Hi there,

Here's what's new in PayStream this January.

New: New integrations with popular tools
Based on your feedback, we've released new integrations with popular tools. It's available to all users starting today.

Improved: A mobile app update
We've also added a mobile app update, making your daily work smoother.

From the blog
Read our latest guide with practical tips on getting more value from PayStream.

As always, we'd love to hear from you. Just reply to this email with your ideas or questions.

Thanks,
The PayStream Team
<|endoftext|>"
836,computer science,bug report,"Write a formal email to Erik, a colleague, reporting a bug in the reporting module (version 1.0.4): a null pointer exception when the user profile is incomplete.",,"Subject: Bug in reporting module 1.0.4

Dear Erik,

Quick heads-up: there is a bug in version 1.0.4 of the reporting module. It turns out to be a null pointer exception when the user profile is incomplete.

Steps to reproduce, logs, and a short analysis are in the ticket. I suspect the problem was introduced in the latest release, so a rollback might be a reasonable short-term option.

Would you be able to review it today? I'm happy to pair on the fix if that helps.

Best regards,
Leila Silva
Machine Learning Engineer, Sierra Cloud","### Instruction:
Write a formal email to Erik, a colleague, reporting a bug in the reporting module (version 1.0.4): a null pointer exception when the user profile is incomplete.

### Email:
Subject: Bug in reporting module 1.0.4

Dear Erik,

Quick heads-up: there is a bug in version 1.0.4 of the reporting module. It turns out to be a null pointer exception when the user profile is incomplete.

Steps to reproduce, logs, and a short analysis are in the ticket. I suspect the problem was introduced in the latest release, so a rollback might be a reasonable short-term option.

Would you be able to review it today? I'm happy to pair on the fix if that helps.

Best regards,
Leila Silva
Machine Learning Engineer, Sierra Cloud
<|endoftext|>"
837,computer science,code review request,"Write an email asking Ravi to review pull request #1089, which refactors the database access layer in the user dashboard.",,"Subject: Review request: PR #1089

Hi Ravi,

Could you review pull request #1089 when you get a chance? It refactors the database access layer in the user dashboard.

The change is written in Go and touches about 9 files. The main logic is in the service layer; the rest are tests and small updates to call sites. All tests pass locally and in CI.

I would especially appreciate your feedback on error handling and naming. If possible, I'd like to merge it before Friday.

Cheers,
David","### Instruction:
Write an email asking Ravi to review pull request #1089, which refactors the database access layer in the user dashboard.

### Email:
Subject: Review request: PR #1089

Hi Ravi,

Could you review pull request #1089 when you get a chance? It refactors the database access layer in the user dashboard.

The change is written in Go and touches about 9 files. The main logic is in the service layer; the rest are tests and small updates to call sites. All tests pass locally and in CI.

I would especially appreciate your feedback on error handling and naming. If possible, I'd like to merge it before Friday.

Cheers,
David
<|endoftext|>"
